order_id,customer_id,order_date,amount,status
O1001,C001,2023-05-01,2500,Completed
O1002,C002,2023-05-03,1800,Completed
O1003,C999,2023-05-05,900,Cancelled
O1004,C003,05-06-2023,1200,Completed
O1005,C001,2023/06/07,,Completed
O1006,C004,2023-06-10,2200,Completed
O1007,C005,2023-06-12,1500,Completed
O1008,C006,12-06-2023,3000,Completed
O1009,C007,2023/06/15,2700,Completed
O1010,C008,2023-06-18,800,Cancelled
O1011,C009,2023-06-20,1600,Completed
O1012,C010,2023-06-22,2100,Completed
O1013,C011,2023/06/25,1900,Completed
O1014,C012,25-06-2023,2500,Completed
O1015,C013,2023-06-27,1400,Completed
O1016,C014,2023-06-28,3200,Completed
O1017,C015,2023-06-29,2800,Completed
O1018,C016,2023/06/30,1700,Completed
O1019,C017,30-06-2023,900,Cancelled
O1020,C020,2023-07-01,2600,Completed
